light_caption,dark_caption,light_id,dark_id
A girl with some food and drink at a table.,Two children enjoy a meal at a restaurant.,25603,336053
A flat screen TV next to a fire place in a living room.,A computer desk topped with three monitors and keyboard.,22208,61101
A teenager in a soccer uniform kicking a soccer ball.,Two boys are playing soccer on the grass.,3488,188862
a male tennis player in white shorts is playing tennis,a woman is getting ready to strike a tennis ball,885,233915
A man holding a racquet on a tennis court.,a man playing tennis going for a low ball,36773,19432
Some cars are traveling on the streets on a cloudy day. ,There is a man with a helmet riding a motorcycle.,12238,360735
A man driving a horse drawn wagon next to a red bus.,Two people riding on horses at the beach,13943,468063
A man riding skis with ski poles down a snow covered slope.,A skier is turning a corner while going downhill.,14547,485710
A baseball player scratching his balls while he stands on the field.,A baseball player hitting a pitch with catcher and umpire behind him.,10644,517938
A man riding a board on top of a wave in the ocean.,A man in a red shirt rides a yellow surfboard on light blue water.,12927,27972
A crowd of people shopping at a farmers market filled with fruit and vegetables.,A produced shelf in a store filled with fruits and veggies.,40635,227958
A woman on a bench is hugging a giant teddy bear.,Two tall teddy bears standing next to each other with a person kneeling between them.,623,227801
A man riding a horse drawn carriage on a race track.,A young woman lays a hand on the neck of the horse she is riding.,29187,139140
Man playing tennis in motion with crowd and tennis court,Venus Williams is swinging at the tennis ball at the game.,33116,522889
A guy jumping with a tennis racket in his hand.,A woman swinging a tennis racquet on a tennis court.,415,497281
Woman in a red hat covering half her face and tie. ,A young woman taking a bite of food,1841,553667
A man riding a wave on a surfboard in the ocean.,a small boy is riding a wave on a green yellow and black body board,22304,471756
A large pepperoni and mushroom pizza being cut,this is a pizza that is sliced up in pieces,24223,289415
A man standing next to a light and a sign.,A girl hanging on a street light pole that has quite a few lights on it.,17905,146855
A boy catches a ball as a player slides to the base.,A batter getting ready to hit his pitch.,18491,43816
A Wii controller facing a TV with a video game on the channel.,A few people working on various computers in an office.,7320,85160
A blue and white truck with pants in it's flat bed.,A black bomb squad truck driving down a  road.,6074,365745
A baby is laying down with a teddy bear.,A person riding on top of an elephant near a tree.,12448,48104
A group of people playing frisbee in the grass.,A group of people that are standing in the grass.,19446,281315
A man is leaning over a fence offering food to an elephant/,a head shot of an elephant with a man sitting in the back ground,21903,151970
a person swinging a tennis racket hitting a tennis ball,A woman standing on a tennis court holding a racquet.,19313,104585
Two men standing in a living room playing video game with remotes.,A man standing on one foot holding a controller.,34471,146487
there are many surfers that are in the water,A kid on a surboard riding a little wave,21879,79031
A little boy plays with a racket and ball.,A guy is returning a tennis ball that was hit to him. ,12192,112394
a number of people washing an elephant ,A man looking annoyed while riding on the back of an elephant,42694,251042
a white plate topped with a piece of chocolate covered cake.,a male is riding an elephant next to some water,3091,324040
"A cake on a pan with a spatula, a flower white with roses and a white beverage holder.",A person with a spatula is taking a piece of pizza from the tray.,6484,539926
A tennis player aims for her return on a blue tennis court. ,A young man holding a tennis racquet on a tennis court.,32812,563575
A sexy young lady holding a tennis ball and tennis racquet.,A baseball batter holds his bat above his head. ,18224,421146
A man prepares to serve a tennis ball.,A man holding a racquet on top of a tennis court.,962,545756
A thick piece of pizza with two mugs of beer.,Plate of 3 hotdogs covered in onions next to a mug of chocolate milk,19763,452137
A plate with a sandwich with an egg and French fries.,A woman is seen eating at an outdoor table with a bowl of soup and a roll and a beer in the foreground in front of her.,22492,129659
Woman sitting at table at outdoor venue with additional photos of food served for consumption.,A series of photos showing people eating food.,49096,278627
A man getting ready to bunt the baseball,A baseball field; young children are the batter and the catcher while the umpire and the pitcher are grown men.,488,464134
a man riding a red bicycle watching a bird in the water,Two vintage motorcycles sitting in the grass on display.,19608,507187
A man and a woman floating on a surfboard in the ocean.,the woman is standing in the ocean with a hat ,19129,493022
A person sitting at a table with bagels and a donut.,A little boy standing next to a bunch of unripe bananas.,8711,184207
A person riding a motorcycle down the street.,An elephant walks next to a bus down a busy street.,34222,109819
Young men balance on a sinking surfboard in a calm lake.,A surfer laying on a surf board and paddling with her hands and feet.,8191,380609
There is a woman in a wetsuit in the water.,A man standing on a beach holding a white frisbee.,2191,472472
A toddler eating food with a bib on the table. ,A man holding a game controller for the Nintendo Wii.,12153,189588
a person riding a surf board on a wave ,A young man riding a surfboard on top of a wave.,18358,434637
A woman standing a surf board using a paddle. ,A young man is performing stunts while skidding across the water.,29151,500944
A child tennis player prepares to hit the ball,A man serving a tennis ball on top of a tennis court.,49194,86471
A group of people holding umbrellas in the middle of a graduation.,A man holding an umbrella in one hand and a cell phone up to his ear in the other.,4975,229388
A young girl is preparing to swing on a tennis court.,The backside of a tennis player who just hit a ball.,29934,556216
A man sitting in front of a laptop computer in an office.,A classroom type setting with rectangular tables that have chairs and laptop computers at each desk.,13659,347390
a person laying in a bed with a window ,A man and woman brushing test with window in the background.,7789,537860
A female tennis player holds her body and racket poised. ,A woman in pink dress playing a game of tennis with people in background.,27731,372230
a woman wearing a cowboy hat face to face with a horse ,A man is standing next to a big cow.,3761,488463
Two little girls sitting on the side of a white boat.,A young man riding a white surfboard on top of a wave.,46497,305004
A woman holding a Hello Kitty phone on her hands.,The woman is talking on a cell phone,1296,416730
A model standing next to a scooter in the middle of a room of people,A man on a motor bike on the road.,31984,361382
A man riding a bike next to a bus down a street.,A bus driving down a street past a parked motorcycle.,17244,142774
A soccer player trying to score a goal.,Children involved in a soccer game in motion trying to move the ball.,5124,113951
A young man wearing black attire and a flowered tie is standing and smiling.,A man sitting on the floor holding a plate of food.,1146,4386
Two boys with glove and helmet playing baseball,A baseball player is waiting his turn to catch the ball.,15032,21470
A man that is walking next to a train.,Two buses driving by people in a city.,32777,71752
A couple paddling in a canoe on a river,A man standing on top of a boat next to a man in a straw hat.,3326,208107
A little girl is holding an umbrella on a wet day.,A man in orange garb carrying a umbrella and cell phone.,7088,341010
A pretty lady riding a surfboard while wearing a tight wetsuit.,Surfer riding decent sized wave on the river with breaking tide.,28194,186711
A woman on a surfboard riding a wave.,a surfer that has fallen off of his surf board,26560,220584
Three sheep in a pasture with people standing by the fence.,Two men herding a pack of elephants across a field.,1554,173799
A couple of people sitting at a dinner table filled with food.,A man at a table with several dishes of food.,21993,377427
Kids playing a game of baseball while people watch. ,A man holding a tennis racquet on top of a tennis court.,1270,398423
A little baby with blue eyes talking on a phone.,A woman brushing her teeth with a blue and white tooth brush.,5652,252403
A group of boys playing soccer on a field.,Two men who are standing in the grass near a soccer ball.,4700,216198
A woman is holding a small bunch of fruit.,A close up of a person wearing a bow tie posing for a photo.,29833,345979
The man has enjoyed many years as a surfer.,A man standing on top of a sandy beach near an upright surfboard.,20179,364608
an old man petting a black and white cow,A man riding an elephant into some water of a creek.,32538,384553
A man falling off a surfboard while riding  a wave.,A person that is riding a wave while surfing.,42501,126064
A young girl eating a piece of cake off of a plate.,Boy sitting on a bench with an angry birds toy reading a book.,9270,252468
Two people standing in a kitchen looking around. ,A group of people playing with interactive gaming units.,338,411817
A man on a blue raft attempting to catch a ride on a large wave.,A person surfing on a surf board on some waves,2261,105996
A baseball player swinging a bat during a game.,A baseball player is pitching a ball. ,5064,247216
A man talking on his phone in the public.,"An elderly woman wrapped in a shawl walks by, gripping the shoulder strap of her bag.",395,546160
A woman and a kid are standing on skis in the snow.,A dark skinned child getting ready to be pushed on a swing.,5032,76292
a man waiting for a bus at a stop on a corner,the driver of a double decked bus standing outside,18462,531036
A man riding a surfboard on top of a wave.,a young person riding a surf board on a wave,28994,443053
A man holding his song while he brushes his teeth.,A young woman takes a self portrait in the mirror.,14892,179112
A cop on brown horse on sidewalk next to truck.,A man riding on the back of a brown horse.,17311,382111
A woman riding waves in the ocean on a surf board,A picture of several people in a sail boat in the ocean.,42944,43133
A man without a shirt in a park holding a beer and a frisbee. ,A man kicking his leg into the air while standing next to a neon frisbee.,25057,503600
A man poses his tennis racquet as a ball comes towards him.,The man in a blue shirt is serving a tennis ball.,23121,228297
a big slice of cheese pizza on a white plate ,A beautiful woman sitting at a table with two pizzas.,27493,336356
The woman holding the video game remote looks shocked.,The man is going over the speech that he will be giving in a few hours.,4092,420347
A man riding a horse in front of a fence.,Horses and their riders are racing in a horse race.,21900,80659
A boy and girl playing a game with remote controllers.,"An individual is in the open view in the picture. 
",8042,200668
A smiling woman sitting on a stationary motorcycle.,A man sitting on top of a motorcycle next to a field.,25282,442962
"A woman holding three bags stands by the open doors of a subway car, through which other people can be seen.",A bunch of people inside a crowded subway train. ,4359,183519
A group of people sitting around a wooden table.,The woman is pointing at a big cake.,9590,282942
A man sits at a full dining table.,A woman sits at a table for a meal.,14004,72096
A person that is holding  a surfboard in their hands.,A boy walks along the beach carrying his surfboard.,15818,53754
A tennis player prepares to hit the tennis ball,TENNIS GAME SHOWING ONE PERSON HOLDING A RACKET,4187,301438
A boy swinging a baseball bat at a game.,A man that is standing up with a racquet.,33759,279879
A woman playing tennis in front of a blurry crowd.,A person on a court with a tennis racket.,36051,382009
A woman staniding on the shore holding two umbrellas.,A baby girl standing in a shopping cart holding an umbrella.,32965,443969
Soccor players approach a ball that is in the air.,2 teams of young kids playing soccer against each other.,10837,45864
Man standing in front of the ocean in a wet suit with a surf board.,A man holding a surfboard while walking into the ocean.,11316,51157
A man that is laying down underneath a cat.,A man wearing glasses lays in bed next to a cat.,12085,16875
a male in a brown and white shirt eating a sandwich,a man in a tie holding a cup,19491,553709
"Three items of luggage of color blue, black, and red
",two people riding on a motorcycle on a road,7690,531061
A person on a surfboard in the water.,A man in a wet suit riding a wave on a surfboard.,42190,93685
A person holds a flip phone displaying the screen.,A woman laying in a hospital bed hooded up to machines.,27517,355257
A man and child next to a horse.,A  man in a hat riding a horse,12748,395248
A man holding a camera up over his left shoulder.,A man is frowning while standing in an empty room.,459,310862
Girl looks back as she fixes flower on boy's suit,A man with an odd look taking a selfie.,11051,418300
Young man wearing glasses lounging on a sofa with three white laptop computers on his lap.,an image of a child playing on a toy laptop,1436,447770
A man with a green tie has his arms around the shoulders of two boys.,A group of young children sitting in the grass.,22680,6954
A family is sitting around a dinner table.,A man and woman  sitting near a table with a lot of food on it.,7274,181655
A woman that is laying upside down on a bed.,A woman playing in her hair while sitting on a bed.,6662,257470
A young man riding a skateboard on a stone wall.,A young man sitting on a park bench next to a playground.,13546,341921
A small boy pushes a pizza into an oven.,A man sanding next to a brick oven filled with fire.,18957,281111
A man dressed very nice posing for a picture.,A man standing in the street with a umbrella.,11449,232563
a person feeding seagulls on a beach near a lighthouse,Two people riding elephants in dirty deep water,19783,345520
The people are ready to go out on the water for their surfing lessons,A man riding a white surfboard on top of a wave.,3837,553965
Several people crossing at an intersection with traffic lights. ,A man standing next to a parked bus and various people riding bicycles down a street together and one person holding a sign.,35891,564276
A tennis player in white wearing a white cap holds a red tennis racket.,A woman swinging a tennis racquet at a tennis ball.,39630,463272
A man cutting up a large sandwich in a kitchen.,a woman is standing at a sink in a kitchen,5961,242365
A group of people and elephants on a street.,A man walks beside an elephant as people ride by on the street. ,24097,543547
A man with a phone raised to his ear with other men.,A man sitting in a bar wearing a hat and white tie.,24958,431404
there is a woman sitting on a bed using a lap top,A man sitting in front of a laptop computer in front of a library.,3716,209041
A person is eating pizza with a knife and fork.,A young girl eating a very tasty looking slice of pizza.,27696,399839
A little boy is holding a carrot stick.,A man that is standing with a remote.,16257,559185
A man in a suit with a blue tie and vest.,A man is adjusting a tie in a vehicle.,18770,510527
A person near a bike and a car on a street.,A man is sitting on a bench next to a bike.,9801,133680
A man in a blue uniform kicking the soccer ball,A women who is standing on a tennis court.,26374,191949
A man hitting a ball with a bat while two other men watch.,A woman playing with a tennis ball and racket.,21029,25508
a woman with blonde hair posing with rope on a bed,A man standing in a room holding a drink and a game controller.,4509,492990
two people make a purchase at a bakery,A bakery with customer at the counter and various types of donuts in the display case in front of the customers.,22199,131276
A man is surfing on a small wave.,A boy swims through the water using a board.,51314,221524
A man looking at a cell phone he is holding.,A woman with a box of chicken has an umbrella hat.,14549,49682
The man grins in a restaurant holding a glass of wine.,A woman pouring wine into glasses on a wooden table.,9007,295440
A man riding a board over the top of a wave.,A person with a surfboard in a room.,9628,302990
A baseball player swinging a bat near home plate.,A girl is trying to hit a baseball with a bat. ,28881,294908
this is a man playing in a field,A boy walking across a field while flying a kite.,4688,225108
A man and a young boy working on laptop computers.,A man wearing a red jacket sitting at a desk.,13081,533548
A man in foodservice holding baskets with food.,A man in coat and tie smiling and holding up two wine bottles in each hand by a cabinet with wine glasses in a room.,7519,536741
A young man jumps to catch a Frisbee on a playing field.,A bunch of soccer players in uniform playing soccer.,19444,382462
A man hitting a tennis ball with a racquet.,The tennis player does not know what to expect with the next serve.,49893,397279
A person that is flying a kite in the air.,A person in a jeans jacket flying a colorful kite.,1955,75327
A bearded man with an earring wearing a black tie.,A bald man with a beard wearing a polka dot bow tie.,6847,473109
A man and a woman sitting on a bench at a tennis court.,A  young woman holding a giant tennis racquet ,15148,190081
A woman tending to a brown cow with a rope wrapped around it's mouth.,A man sits with a traditionally decorated cow,31471,193622
A man dressed as a town fryer walking across the street using a cell phone,The young girl is standing by the fire hydrant in curlers.,34786,176466
A man dressed in mostly all black riding on a black motorcycle.,a man in a blue shirt riding a blue motorcycle and some people,39504,185904
Two men skateboarding in the middle of the street.,In the foreground of the picture there are couples riding on motorcycles on a city street,25069,404718
A skier stands next to skis stuck into the snow.,A man kissing a baby elephant on a dirt road.,14874,43535
Baker proudly displays her white dog cake in her kitchen,A woman in pink looking at her phone,4011,490529
a person holding the string of a kite flying in the sky,two kids standing outside flying a kite during the day,26534,16356
A woman exercising a brown horse in a riding ring.,A brown and white horse standing on top of a beach.,15956,331242
A man riding on the side of a motor bike.,A group of motorcyclers riding down a street with traffic,37209,332877
A little girl holds up a big blue umbrella.,Two women walking together in the rain with umbrellas.,9448,397617
A little girl with her back turned flying a kite in the sky.,a kid stands on a hillside while flying a kite ,5513,154342
A man walking down a street holding an umbrella.,A man sticking his head out of a doorway into a rainy city street.,7394,3590
A woman wearing a blouse and devil horns hold a cell phone to her ear.,A demonic looking President Barrack Hussein Obama clasping his hands together.,38721,1089
A girl in a soccer uniform playing a soccer game.,Baseball players swing at a baseball with a bat during a game.,29524,462809
A little girl taking a bite out of a apple. ,A young man modeling clothes during a photo session.,18336,223198
A woman looking into a refrigerator filled with food.,City traffic and pedestrians are headed in multiple directions on the street.,23247,427091
A woman is playing with a Nintendo Wii.,A young boy with a bowl haircut holding  a Nintendo Wii controller.,3938,126340
A little girl that is in the grass with an umbrella.,The large blue truck is old with rusted parts.,39866,35966
A man holding a tennis racquet as a tennis ball approaches him.,A woman that is playing tennis on a court.,15687,557596
A man riding a snow board on top of a snow covered slope.,A couple of people in the snow on some skis.,1700,98590
A pretty young lady flying a kite in the sky.,A young man playing with frisbee on a sunny day,32364,72770
